1.1	Splendidior lux luce micat, maiorque diebus 
1.2	fulget clara dies, toto festiuior anno, 
1.3	natalis quae lecta deo. qua nascitur ille, 
1.4	cum patre qui semper caeli in consortia regnans, 
1.5	uirtus magna patris, carnis primordia nostrae, 
1.6	mox hominem in caelum reuehens, sic morte peracta 
1.7	sumere qui carnem uoluit ? nec carne senescit. 
2.1	Ianua Uirgo Leo Uirtus? Sapientia Uerbum 
2.2	Rex Baculum Princeps Dux Petra Pastor Homo, 
2.3	Retia Sol Sponsus Semen Mons Stella Magister 
2.4	Margarita Dies Agnus Ouis Uitulus, 
2.5	Thesaurus Fons Uita Manus Caput Ignis Aratrum 
2.6	Flos Lapis anglaris Dextra *Columna Puer, 
2.7	Mitis Adam Digitus Speculum Uia Botruo Panis 
2.8	Hostia Lex Ratio Uirga Piscis Aquila, 
2.9	Iustus, Progenies regis regisque Sacerdos, 
2.10	nomina magna deo, maior at ipse deus. 
3.1	Quod fuit a seclis, quodque est in secla seclorum, 
3.2	semper erit, quia semper erat, sine fine manens est. 
3.3	et super omne quod est, sine quo nihil, omnia cui, 
3.4	omniparens uerbum, uerbum deus omnipotens f 
3.5	cum patre qui solus, cum quo pater et deus t solus, 
3.6	hoc erat, et nondum natura acceperat ortum. 
3.7	semen enim Christus, Christus primordia rerum, 
3.8	Christus honor terrae, tremor orbis, gloria caeli. 
3.9	- ex dominante deo rex et do mill at or in altis, 
3.10	unicus ante omnes genitus, genitore sed illo 
3.11	quem genuit nullus, per quem gignentia cuncta: 
3.12	t quaesumus optamus tremimus ueneramur amamus. 
3.13	totus et (ex) toto, totum diffusus in orbem. 
3.14	non idem, sed prorsus idem, similisque simulque, 
3.15	tantundem et pariter, sic filius et pater unum 
3.16	nomine diuisum nomen, substantia mixta est, 
3.17	consummans sacri mysteria sancta profundi. 
3.18	plenitudô potens, sibi dedita, nexa uicissim 
3.19	trina potestatum conclusio parificatur, 
3.20	spiritus et uolitans perfectio tota superne. 
3.21	ergo honor in Christo est, laus est patris, in patre Christi est. 
3.22	ipse patris mens est et sermo et testis et heres, 
3.23	ipse recognoscit quantum pater audet in ipso, 
3.24	ipse caput nostrum sapientia gratia uita est, 
3.25	ipse hominum custos speculator et arbiter ipse, 
3.26	ipse salutis iter, luxque immutabilis ipse, 
3.27	de uero uerus splendor, de lumine lumen, 
3.28	de bonitate bonus, de pleno et diuite plenus, 
3.29	prouidus indulgens clemens miserator abundans, 
3.30	perfectus patiens iustus pius inmaculatus, 
3.31	aeternum aeterni donum, tutela priorum, 
3.32	firmamentum animae, fuga daemonis, arma fidei, 
3.33	perpetuum regnans, censor iudexque futuri, 
3.34	tempore non clausus, clausurus tempora iussu, 
3.35	principium ac finis, uegetator et intus et extra, 
3.36	uelle tenens et posse potens et mite seuerus, 
3.37	pax mundi et gaudium, prauique bonique diremptor. 
3.37b	naturae duplicis uir baiulus et mediator, 
3.38	dum, mortale quod est, deus inmortale probauit. 
3.39	o felix domini dominatio, nobile letum! 
3.40	o miserae gentis cor durum et perfidus error! 
3.41	impie damnator, tua mors hoc stipite pendet: 
3.42	credule confessor, tua uita hoc sanguine uiuet. 
3.43	t flecteris iudicante t deo, qui plectere uisus 
3.44	saluauit populos, populus quem f odit iniquus. 
3.45	hic est ille suis reprobus prius et maledictum, 
3.46	sputamenta hominum, perituri obprobria uulgi. 
3.47	hic cui saeua manus fel mixtum fudit aceto, 
3.48	palmea quem caeco uiolarunt uerbera pulsu. 
3.49	aspice, percussor demens, uenerabile lignum, 
3.50	cerne profanati uictricia signa cruoris. 
3.51	estne deus uiuus, deus insuperabilis hosti, 
3.52	ultio perfugium requies lux uita fides spes? 
3.53	a patre noscendus, quod sit sator atque animator: 
3.54	a cruce, quod uindex propulsatorque gehennae, 
3.55	errorum ablutor, pax fida, remissio larga. 
3.56	natus amore hominis, passus ratione salutis, 
3.57	functus lege obitus, rediuiuus in aethera celsum, 
3.58	sede sedens patria, super omne salutifer aeuom, 
3.59	unde humilem dignatus humum, remeabilis illo. 
3.60	peccati pretium, peccandi nescius ipse, 
3.61	participans famulos, conformans glorificatos. 
3.62	en tibi quam pulchrum per limina nostra tropaeum, 
3.63	Christe, micat; quam clara patri uexilla reportas, 
3.64	sanguinolentus adhuc, etiam quod et antea, semper 
3.65	in uirtute potens, in maiestate perennis. 
3.66	cur tamen hanc speciem teneat crucis edita forma 
3.67	monstrat adorandum tota ratione character. 
3.68	quod diuisa nota est in partes quattuor extans, 
3.69	dat mundi dominum cognosci t et archangelos omnes. 
3.70	tot regit ipse plagas, caeli quot crux uidet oras. 
3.71	crux imitata pias orantis imagine palmas, 
3.72	crux testata dei pacem f pingit, et est pax, 
