1	Quisque solo adclinis mersisti in puluere uultum 
2	humidaque inlisae pressisti lumina terrae, 
3	attollens oculos trepido miracula uisu 
4	concipe et eximio causam committe patrono. 
5	5 nulla potest tantas conplecti pagina uires, 
6	quamquam ipsa his titulis caementa et saxa notentur. 
7	terrenum non claudit opus, quod regia caeli 
8	suscipit et rutilis inscribunt sidera gemmis. 
9	Martini si quaeris opem, trans astra resurgens 
10	10 tange polum, angelicum scrutatus in aethere coetum. 
11	illic coniunctum domino perquire patronum, 
12	sectantem aeterni semper uestigia regis. 
13	si dubitas, ingesta oculis miracula cerne, 
14	quis famuli meritum uerus saluator honorat. 
15	15 accedis reliquis inter tot milia testis, 
16	\'dum narranda uides sollers et uisa retexis. 
17	in sanctis quidquid signauit pagina libris, 
18	instaurat renouante deo. quo munere gaudent 
19	caecus, clodus, inops, furiosus, anxius, aeger, 
20	20 debilis, oppressus, captiuus, maestus, egenus. 
21	omnis apostolicis gaudet curatio signis. 
22	qui flens adfuerit, laetus redit. omnia cedunt 
23	nubila. quod meritum turbat, medicina serenat. 
24	expete praesidium: non frustra haec limina pulsas. 
25	in cunctum perget pietas tam prodiga mundum. 
