1	0	f	INTJ	NOUN		f	vocative	8
1	1	Tibi	PRON	pronoun	Case=Dat|Number=Sing|Person=2	Tu	obl	8
1	2	que	ADV	pronoun		que	discourse	8
1	3	,	PUNCT	punc		,	punct	2
1	4	Domine	NOUN	noun	Case=Voc|Gender=Masc|Number=Sing	Dominus	vocative	8
1	5	,	PUNCT	punc		,	punct	4
1	6	celsum	ADJ	adjective	Case=Acc|Gender=Masc|Number=Sing	celsus	amod	7
1	7	Cherubim	NOUN	noun		cherub	xcomp	8
1	8	dicatum	VERB	verb	Case=Nom|Gender=Neut|Number=Sing|VerbForm=Part|Voice=Pass	dico	ROOT	8
1	9	est	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	aux:pass	8
1	10	,	PUNCT	punc		,	punct	8
2	0	et	CCONJ	conjunction		et	cc	2
2	1	illa	DET	pronoun	Case=Nom|Gender=Fem|Number=Sing	ille	det	2
2	2	moles	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	moles	ROOT	2
2	3	quadriformis	ADJ	adjective	Case=Gen|Gender=Fem|Number=Sing	quadriformis	amod	4
2	4	machinae	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	machina	nmod	2
3	0	te	PRON	pronoun	Case=Acc|Number=Sing|Person=2	tu	obj	2
3	1	sempiterno	ADJ	adjective	Case=Abl|Gender=Neut|Number=Sing	sempiternus	amod	0
3	2	confitentur	VERB	verb	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	confiteor	ROOT	2
3	3	carmine	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	carmen	obl	2
3	4	.	PUNCT	punc		.	punct	2
4	0	et	CCONJ	conjunction		et	cc	2
4	1	nos	PRON	pronoun	Case=Nom|Number=Plur|Person=1	nos	nsubj	2
4	2	imago	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	imago	ROOT	2
4	3	consonantis	ADJ	verb	Case=Gen|Gender=Neut|Number=Sing	consonans	acl	2
4	4	cantici	NOUN	noun	Case=Gen|Gender=Neut|Number=Sing	canticum	nmod	3
5	0	amen	INTJ	adverb		amen	discourse	1
5	1	sonamus	VERB	verb	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	sono	ROOT	1
