1.14	4	.	PUNCT	punc		.	punct	3
1.15	0	Liberatus	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	libero	ROOT	0
1.15	1	Mullitanus	VERB	noun	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	Mullitanus	conj	0
1.15	2	ut	ADV	adverb		ut	advmod	3
1.15	3	sp	NOUN	noun		sp	advcl:cmp	0
1.15	4	.	PUNCT	punc		.	punct	3
1.16	0	Mannucius	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	mannucius	ROOT	0
1.16	1	Duas	NUM	number	Case=Acc|Gender=Fem|Number=Plur	Duo	nummod	0
1.16	2	-	PUNCT	punc		-	punct	3
1.16	3	Senemsalensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Senemsalensis	conj	0
1.16	4	.	PUNCT	punc		.	punct	0
1.17	0	Hirundinus	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	Hirundinus	ROOT	0
1.17	1	Missuensis	ADJ	verb	Case=Gen|Gender=Fem|Number=Sing	Missuensis	nmod	0
1.17	2	.	PUNCT	punc		.	punct	0
1.17	3	Corsic	ADV	noun		Corsic	ROOT	3
1.17	4	.	PUNCT	punc		.	punct	3
1.18	0	Iona	PROPN	proper_noun		Ionas	ROOT	0
1.18	1	Lapdensis	ADJ	adjective	Case=Gen|Gender=Masc|Number=Sing	Lapdensis	amod	0
1.18	2	.	PUNCT	punc		.	punct	0
1.18	3	ut	ADV	adverb		ut	advmod	4
1.18	4	sp	NOUN	noun		sp	ROOT	4
1.18	5	.	PUNCT	punc		.	punct	4
1.19	0	Peregrinus	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	peregrinus	ROOT	0
1.19	1	Assuritanus	ADJ	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Assuritanus	amod	0
1.19	2	in	ADP	preposition		in	case	3
1.19	3	exil	ADV	adjective		exilis	nmod	0
1.19	4	.	PUNCT	punc		.	punct	0
1.19	5	hic	ADV	adverb		hic	ROOT	5
1.19	6	.	PUNCT	punc		.	punct	5
1.20	0	Quintianus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	quintianus	ROOT	0
1.20	1	Uricitanus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Uricitanus	appos	0
1.20	2	.	PUNCT	punc		.	punct	0
1.21	0	Cresconius	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Cresconius	ROOT	0
1.21	1	Tonnonensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Tonnonensis	amod	0
1.21	2	.	PUNCT	punc		.	punct	0
1.21	3	prbt	NOUN	noun		prbt	ROOT	3
1.21	4	.	PUNCT	punc		.	punct	3
1.22	0	Florentinus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Florentinus	ROOT	0
